,Method,MSE
244,Linear Regression,0.5734870499677215
245,Linear Regression,0.34698652838096217
246,Linear Regression,0.24831450500333685
247,Linear Regression,0.6984279313878021
248,Linear Regression,0.36413941416709594
249,Linear Regression,0.1544459788537752
250,Linear Regression,0.10948060010699967
251,Linear Regression,0.22361270511247786
252,Linear Regression,0.3721965678655644
253,Linear Regression,0.4180916788697193
254,Linear Regression,0.2524888776264426
255,Linear Regression,0.2945177160715328
256,Linear Regression,0.34581611899876963
257,Linear Regression,0.25151669789228165
258,Linear Regression,0.35365321422175205
259,Linear Regression,0.3073828410864997
260,Linear Regression,0.3470267551595154
261,Linear Regression,0.22278429952593795
262,Linear Regression,0.238958106922504
263,Linear Regression,0.34198732004822424
264,Linear Regression,0.2770504134963508
265,Linear Regression,0.2496541101169639
266,Linear Regression,0.3364336948967735
267,Linear Regression,0.24957973501668615
268,Linear Regression,0.30962833679098273
269,Linear Regression,0.6010217090253817
270,Linear Regression,0.3426806030089686
271,Linear Regression,0.33112384551445856
272,Linear Regression,0.2509999987337465
273,Linear Regression,0.33558489010504794
274,Linear Regression,0.3368012280548136
275,Linear Regression,0.22662393514624704
276,Linear Regression,0.23598763808063694
277,Linear Regression,0.37578368418891933
278,Linear Regression,0.4941126674502389
279,Linear Regression,0.36373225880165555
280,Linear Regression,0.2934732951645302
281,Linear Regression,0.38159614871618786
282,Linear Regression,0.31669487630900256
283,Linear Regression,0.2743849612044094
284,Linear Regression,0.2713541185342992
285,Linear Regression,0.2538352586118236
286,Linear Regression,0.3103957510361733
287,Linear Regression,0.20271356288299466
288,Linear Regression,0.23897965691853626
289,Linear Regression,0.231418424444222
290,Linear Regression,0.10500097661482873
291,Linear Regression,0.3085438686111243
292,Linear Regression,0.3012206828484422
293,Linear Regression,0.3923553505842037
294,Linear Regression,0.27211076521984295
295,Linear Regression,0.3272104360514771
296,Linear Regression,0.311385449006731
297,Linear Regression,0.0985015135290674
298,Linear Regression,0.49361350113342156
299,Linear Regression,0.3542081485331768
