,rf_RMSE,rf_MSE,lr_RMSE,lr_MSE,hyperparams,Time
33,0.3166888859774108,0.10029185050161349,0.7039575410648027,0.4955562196220034,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",187.0246777534485
34,0.2972713977342356,0.0883702839108661,0.33470382073211224,0.11202664761267395,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 600}",187.41153001785278
35,0.34287524427162275,0.11756343313432495,0.5775487188071906,0.33356252259582736,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 1200}",188.49407029151917
36,0.23185879599862136,0.05375850128193032,0.46283247418249107,0.21421389915788627,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 1200}",188.56593894958496
37,0.23371259650230097,0.05462157776384735,0.4042462649297321,0.16341504270963914,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 600}",188.49661660194397
38,0.27215489370524704,0.07406828616771431,0.5029126274786014,0.2529211108774306,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 1200}",188.6103057861328
39,0.3789134931887764,0.1435754353205209,0.4238487711930897,0.17964778084189215,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",186.99927234649658
40,0.3288102875744836,0.10811620521481462,0.5447284031004689,0.296729033144387,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.52286553382874
41,0.39353956965965736,0.15487339288790833,0.6486444661202884,0.420739643428474,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 1200}",188.99998259544373
42,0.27128320931919364,0.07359457965852144,0.6752152979766619,0.4559156986217124,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",186.56784224510193
43,0.2816395357856932,0.07932082811758076,0.649641714437752,0.4220343571376217,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",187.18931603431702
44,0.3502449831804539,0.12267154824307641,0.6221218968533176,0.38703565454437,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",187.09749722480774
45,0.2750479024983029,0.07565134866871594,0.5660258316067436,0.3203852420461056,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",186.4690704345703
46,0.2746762578828392,0.07544704664452,0.5479280455111653,0.3002251430576856,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 300}",186.83112478256226
47,0.3379749075548656,0.11422703813671993,0.6107536562294555,0.373020028597648,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.87210202217102
48,0.3355374711962587,0.11258539457678014,0.6038014876073458,0.36457623643684367,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",186.6367473602295
49,0.2702786496480744,0.07305054845558656,0.6600689586054709,0.43569103011451077,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",187.21605134010315
50,0.3497772080306872,0.1223440952577426,0.688240710383468,0.47367527542914073,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",185.87636971473694
51,0.22822493149938491,0.05208661935789893,0.5571773206631988,0.3104465666614211,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.96633005142212
52,0.30941482324351505,0.09573753284281565,0.5128590778039989,0.2630244336859681,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",186.4443395137787
53,0.28066677513607,0.0787738386652813,0.3332647499727415,0.11106539357439393,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 600}",188.12704706192017
54,0.33341318816798154,0.11116435404433787,0.4630247739679181,0.21439194130804165,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",185.8417365550995
